Age,Gender,College_Tier,Specialization,CGPA,DSA_Problems_Solved,Internships,Certifications,Projects_Count,Communication_Skills
18,Male,Tier 2,Computer Science,7.59,384,2,5,7,40
20,Other,Tier 2,AI/ML,8.52,279,1,4,8,49
25,Male,Tier 2,AI/ML,7.4,152,2,7,10,79
24,Female,Tier 3,Mechanical,7.72,163,3,5,8,61
25,Female,Tier 1,Mechanical,7.64,255,4,4,12,84
23,Male,Tier 3,AI/ML,6.94,0,2,8,3,83
19,Female,Tier 3,AI/ML,8.77,66,2,3,5,82
24,Other,Tier 2,Data Science,8.88,181,2,8,1,90
23,Male,Tier 3,Computer Science,8.08,347,2,10,11,81
22,Male,Tier 2,Civil,6.57,309,2,9,4,68
20,Female,Tier 3,Mechanical,6.53,246,0,6,2,47
25,Female,Tier 2,Mechanical,7.97,0,2,7,6,44
19,Other,Tier 3,Information Technology,6.08,55,0,2,9,50
20,Male,Tier 3,Mechanical,7.15,321,1,9,4,68
19,Other,Tier 1,Data Science,6.71,16,1,5,6,52
24,Other,Tier 2,Computer Science,6.85,197,1,7,10,51
22,Male,Tier 1,Information Technology,7.63,404,0,6,7,78
20,Female,Tier 2,AI/ML,7.13,244,1,7,10,43
25,Female,Tier 3,Mechanical,7.12,261,2,7,8,50
21,Other,Tier 2,Data Science,8.2,0,1,7,9,72
18,Other,Tier 2,AI/ML,6.16,341,4,1,12,93
19,Female,Tier 3,Computer Science,7.01,282,2,3,4,91
21,Male,Tier 3,Civil,7.56,610,1,8,3,60
19,Male,Tier 3,Data Science,8.31,428,1,0,5,95
21,Other,Tier 2,AI/ML,6.05,295,2,4,11,66
22,Other,Tier 3,Electronics,7.52,313,1,7,6,77
24,Male,Tier 3,Data Science,8.16,428,0,4,6,93
23,Other,Tier 3,Computer Science,6.9,456,0,7,1,47
20,Other,Tier 2,Data Science,7.22,85,3,4,2,81
18,Female,Tier 3,Information Technology,6.21,0,2,3,7,81
20,Other,Tier 2,Information Technology,8.21,146,1,0,12,61
24,Male,Tier 3,Computer Science,4.7,593,0,5,5,48
20,Female,Tier 2,AI/ML,9.64,457,2,2,7,79
24,Female,Tier 3,Electronics,7.96,292,2,3,5,81
18,Other,Tier 3,AI/ML,6.92,0,1,8,4,87
19,Male,Tier 2,Civil,7.38,458,0,0,6,99
20,Female,Tier 3,Data Science,8.14,102,0,9,2,40
22,Other,Tier 3,Data Science,7.31,49,1,6,2,80
21,Male,Tier 2,Mechanical,7.64,247,2,10,11,81
19,Female,Tier 1,Civil,7.33,185,2,4,11,87
20,Female,Tier 3,Civil,7.24,144,1,4,3,63
22,Other,Tier 1,Information Technology,5.96,146,4,10,2,71
23,Male,Tier 2,Computer Science,8.45,148,3,10,12,47
21,Male,Tier 2,Mechanical,6.01,296,3,2,1,75
22,Male,Tier 3,Computer Science,7.07,256,1,0,3,54
22,Female,Tier 1,Mechanical,6.64,44,0,3,5,76
21,Other,Tier 3,Data Science,8.84,501,2,2,1,99
23,Male,Tier 3,Mechanical,6.82,219,3,4,2,53
19,Male,Tier 3,Data Science,5.98,255,1,5,8,87
19,Other,Tier 3,Mechanical,7.53,375,2,2,4,58
22,Male,Tier 1,AI/ML,5.99,500,0,9,2,49
19,Other,Tier 2,Data Science,7.76,261,0,4,8,56
21,Female,Tier 1,Information Technology,5.79,233,0,5,7,72
25,Other,Tier 3,AI/ML,8.29,341,0,1,3,47
23,Other,Tier 3,Information Technology,7.34,597,0,9,5,98
20,Male,Tier 3,Data Science,7.33,227,3,1,1,100
25,Male,Tier 2,Mechanical,5.87,0,0,3,3,57
22,Female,Tier 2,Civil,7.59,623,1,1,5,64
24,Other,Tier 2,Civil,7.1,387,2,5,10,72
21,Male,Tier 3,Data Science,6.53,398,1,7,9,62
22,Other,Tier 3,Information Technology,6.3,254,0,3,10,94
23,Other,Tier 1,Information Technology,7.17,372,1,9,10,49
18,Male,Tier 1,Civil,5.89,90,0,8,8,40
23,Male,Tier 1,Civil,7.26,329,2,2,2,94
23,Female,Tier 2,AI/ML,5.22,109,2,6,11,71
21,Other,Tier 3,AI/ML,8.73,432,1,4,3,51
21,Other,Tier 3,Mechanical,6.86,157,0,1,4,62
22,Male,Tier 2,Computer Science,7.36,250,1,1,12,40
25,Female,Tier 2,Mechanical,5.72,0,0,7,10,81
22,Male,Tier 2,Computer Science,6.03,0,0,2,7,50
18,Female,Tier 3,AI/ML,4.61,168,2,6,3,43
22,Female,Tier 2,Computer Science,7.18,336,1,8,8,49
25,Male,Tier 1,AI/ML,7.04,245,0,4,2,70
19,Other,Tier 2,AI/ML,7.03,506,1,6,6,51
21,Female,Tier 3,AI/ML,6.99,149,2,10,2,45
24,Other,Tier 2,Civil,7.88,176,2,7,10,96
20,Male,Tier 3,Mechanical,7.5,445,0,2,4,91
21,Other,Tier 1,Civil,7.66,148,1,1,2,64
18,Other,Tier 3,Civil,7.38,47,2,1,7,49
22,Other,Tier 3,Mechanical,6.15,330,1,10,8,76
24,Male,Tier 2,Electronics,6.44,36,2,0,12,70
22,Female,Tier 3,Data Science,8.53,333,2,1,4,48
19,Male,Tier 2,Data Science,8.13,258,1,7,9,95
24,Male,Tier 3,Civil,7.74,410,3,0,3,52
23,Other,Tier 1,Electronics,5.23,558,3,8,7,80
20,Female,Tier 3,Electronics,7.51,372,1,4,12,93
21,Male,Tier 3,Information Technology,7.48,212,0,10,7,72
18,Male,Tier 2,Data Science,7.86,426,3,10,5,67
22,Other,Tier 2,Civil,6.55,170,1,1,1,72
19,Female,Tier 1,Electronics,7.51,505,2,4,5,81
18,Other,Tier 2,Electronics,5.44,363,2,0,11,71
21,Female,Tier 3,AI/ML,7.06,66,2,10,8,98
22,Male,Tier 2,Information Technology,7.79,500,1,8,3,100
24,Female,Tier 2,Civil,8.4,158,1,1,8,43
22,Female,Tier 1,Data Science,7.85,231,0,3,6,66
25,Female,Tier 3,AI/ML,7.92,194,1,0,1,68
25,Male,Tier 1,Mechanical,8.13,37,2,6,7,70
18,Female,Tier 3,Civil,6.65,633,0,10,1,80
24,Other,Tier 3,AI/ML,9.21,559,0,0,5,100
24,Other,Tier 3,Electronics,7.98,167,4,7,6,88
20,Male,Tier 3,Civil,6.75,354,1,1,6,85
18,Other,Tier 1,Data Science,6.06,220,0,1,7,68
21,Other,Tier 3,Computer Science,7.08,477,1,10,2,82
22,Male,Tier 3,Mechanical,8.42,337,0,3,5,93
25,Male,Tier 3,Mechanical,8.29,532,1,0,1,82
19,Other,Tier 3,Electronics,7.34,0,2,7,5,56
22,Female,Tier 3,Electronics,5.61,327,1,1,2,94
25,Other,Tier 2,Information Technology,7.17,515,0,5,3,47
25,Female,Tier 3,Data Science,7.67,100,0,2,12,86
25,Male,Tier 3,Data Science,7.1,219,1,0,11,96
18,Male,Tier 2,Electronics,7.57,387,0,10,9,89
24,Other,Tier 3,Mechanical,7.18,137,1,10,11,64
25,Female,Tier 3,Computer Science,6.92,260,2,5,4,61
24,Male,Tier 1,Mechanical,7.99,61,3,7,2,94
19,Female,Tier 2,Civil,7.16,7,1,1,10,79
23,Female,Tier 3,Data Science,7.4,422,0,7,6,75
18,Female,Tier 2,Information Technology,7.89,276,4,4,9,73
24,Male,Tier 2,AI/ML,6.13,0,0,6,4,69
25,Female,Tier 3,Civil,6.19,342,0,7,1,73
20,Other,Tier 3,Information Technology,7.02,456,3,1,7,82
22,Female,Tier 3,Electronics,6.25,268,1,2,3,66
21,Male,Tier 3,Electronics,6.91,15,2,10,3,85
23,Other,Tier 2,Civil,10.0,294,3,6,11,87
24,Male,Tier 1,Computer Science,7.31,34,0,2,5,83
23,Female,Tier 1,Data Science,8.28,182,2,8,4,87
24,Female,Tier 2,Data Science,7.68,123,4,5,9,43
21,Other,Tier 3,Information Technology,6.8,106,1,9,9,87
20,Male,Tier 3,Computer Science,7.22,461,1,6,5,75
18,Female,Tier 2,AI/ML,7.63,221,0,5,10,43
23,Other,Tier 2,AI/ML,7.78,298,1,8,3,66
23,Female,Tier 2,Data Science,6.9,275,2,7,9,92
18,Other,Tier 3,Mechanical,8.52,232,3,1,7,56
25,Female,Tier 1,Information Technology,7.18,100,0,8,2,100
21,Other,Tier 3,AI/ML,6.96,194,3,6,2,53
18,Male,Tier 1,AI/ML,6.88,432,2,8,2,76
24,Female,Tier 1,Information Technology,7.6,246,0,0,11,86
22,Other,Tier 2,Computer Science,8.39,180,1,7,7,65
24,Other,Tier 2,Information Technology,7.79,178,0,10,12,81
18,Male,Tier 3,Mechanical,9.14,99,1,1,5,53
20,Male,Tier 3,Electronics,7.55,323,0,2,11,91
19,Female,Tier 1,Information Technology,6.96,350,2,5,6,48
23,Female,Tier 2,Civil,8.31,231,2,9,3,76
21,Male,Tier 3,Information Technology,7.11,299,1,5,3,83
25,Other,Tier 1,Information Technology,7.71,211,2,4,3,97
18,Other,Tier 3,Data Science,8.29,169,2,0,9,56
20,Female,Tier 2,Computer Science,6.98,197,1,8,1,82
20,Other,Tier 3,Information Technology,5.58,91,3,2,12,86
21,Male,Tier 2,AI/ML,7.1,224,0,3,9,98
23,Male,Tier 3,Civil,7.44,396,2,4,12,56
22,Female,Tier 3,AI/ML,4.5,351,1,5,6,71
21,Male,Tier 2,Electronics,8.57,229,0,2,3,63
25,Other,Tier 2,AI/ML,8.84,361,2,10,7,41
20,Other,Tier 2,Civil,6.36,575,0,2,5,99
22,Male,Tier 2,Civil,7.24,504,4,7,3,54
22,Male,Tier 3,Electronics,5.88,158,3,9,10,44
21,Other,Tier 3,Civil,5.79,237,2,2,10,46
19,Male,Tier 2,AI/ML,5.74,203,3,8,1,97
24,Male,Tier 3,Mechanical,5.32,267,2,6,6,77
19,Female,Tier 3,Civil,6.45,202,1,3,1,85
21,Other,Tier 3,Mechanical,9.1,240,1,2,7,81
22,Other,Tier 2,AI/ML,5.62,290,1,8,8,51
23,Other,Tier 2,AI/ML,6.72,272,3,10,2,87
24,Female,Tier 3,Civil,6.31,0,2,0,3,64
19,Male,Tier 2,Electronics,7.07,261,0,0,12,64
25,Female,Tier 1,Data Science,7.64,86,2,8,5,52
18,Female,Tier 2,Computer Science,7.91,284,4,1,5,89
18,Other,Tier 3,Computer Science,7.56,78,1,8,10,62
24,Other,Tier 1,AI/ML,7.07,0,1,1,9,44
22,Other,Tier 3,Civil,6.17,439,1,7,7,76
18,Female,Tier 1,Computer Science,6.55,516,1,3,11,84
22,Male,Tier 2,Mechanical,6.53,458,2,5,2,75
20,Other,Tier 3,AI/ML,7.07,371,1,3,4,87
23,Male,Tier 3,Computer Science,5.54,404,3,10,11,71
25,Other,Tier 3,Mechanical,6.09,217,0,8,5,65
25,Other,Tier 1,Electronics,8.6,165,1,10,3,69
18,Other,Tier 2,Civil,8.16,492,0,5,10,95
25,Other,Tier 2,AI/ML,7.48,128,1,3,7,84
20,Other,Tier 3,Data Science,7.75,250,0,4,4,75
25,Male,Tier 1,Mechanical,6.83,211,0,10,9,74
24,Male,Tier 3,Computer Science,7.9,199,0,4,8,93
22,Female,Tier 1,Computer Science,7.65,14,1,10,10,52
25,Other,Tier 2,Computer Science,8.93,584,1,4,8,80
19,Male,Tier 1,AI/ML,6.66,131,1,10,5,85
25,Female,Tier 1,Data Science,5.22,362,0,3,11,56
19,Female,Tier 2,Computer Science,6.28,0,2,8,2,46
21,Other,Tier 2,Information Technology,5.97,324,0,8,3,41
25,Male,Tier 3,Information Technology,5.7,288,1,9,10,69
21,Male,Tier 2,Electronics,7.51,191,1,2,5,40
18,Other,Tier 3,Data Science,6.83,306,1,0,7,91
24,Other,Tier 2,AI/ML,5.43,439,0,10,7,93
22,Female,Tier 3,Civil,8.57,0,3,6,4,94
25,Female,Tier 3,Mechanical,7.15,292,0,0,3,43
25,Other,Tier 1,Computer Science,7.29,220,0,7,4,61
23,Male,Tier 3,AI/ML,7.79,0,0,6,2,74
18,Male,Tier 3,Information Technology,6.81,418,0,7,4,87
25,Female,Tier 3,Electronics,6.23,43,3,2,11,86
22,Male,Tier 2,Computer Science,7.71,358,3,3,2,55
19,Female,Tier 3,Computer Science,8.0,363,4,9,12,70
19,Other,Tier 3,Data Science,8.27,246,2,0,6,81
23,Other,Tier 3,Data Science,6.52,228,1,7,12,52
25,Other,Tier 2,Electronics,7.41,250,1,7,4,76
22,Other,Tier 3,Civil,5.59,135,0,8,3,68
24,Other,Tier 1,Computer Science,7.01,210,2,5,10,55
20,Other,Tier 2,Mechanical,7.26,291,2,1,2,73
21,Male,Tier 2,Computer Science,7.38,520,0,10,7,82
23,Male,Tier 3,Computer Science,8.01,103,0,3,11,71
23,Other,Tier 1,Civil,9.96,308,1,0,12,44
21,Other,Tier 2,AI/ML,6.51,188,1,3,10,80
23,Other,Tier 2,Information Technology,8.32,250,1,1,3,90
25,Female,Tier 3,Civil,8.03,119,4,5,6,66
24,Other,Tier 3,Electronics,6.38,178,1,7,8,65
22,Male,Tier 2,AI/ML,8.05,229,0,5,1,89
19,Male,Tier 2,AI/ML,6.62,0,0,5,10,55
21,Other,Tier 1,Electronics,8.17,435,2,2,8,92
18,Female,Tier 2,Data Science,6.88,342,1,1,4,87
23,Other,Tier 3,Electronics,7.2,340,1,3,3,43
21,Female,Tier 2,Mechanical,5.98,173,0,5,2,70
24,Other,Tier 1,AI/ML,7.53,295,1,3,8,65
19,Female,Tier 3,Electronics,7.12,350,2,9,2,47
23,Other,Tier 3,Data Science,7.58,114,1,5,10,92
21,Other,Tier 2,Data Science,8.84,114,2,1,2,87
18,Female,Tier 3,Computer Science,6.66,225,1,7,1,61
25,Other,Tier 3,AI/ML,6.69,215,2,10,1,64
22,Male,Tier 2,Computer Science,9.61,367,0,10,5,82
21,Female,Tier 2,Information Technology,7.75,72,0,5,8,95
18,Male,Tier 3,Electronics,7.64,252,1,6,12,50
21,Other,Tier 2,Computer Science,6.63,265,2,6,1,100
19,Other,Tier 2,Information Technology,7.36,257,2,10,11,54
23,Female,Tier 2,AI/ML,8.69,9,2,9,9,83
20,Other,Tier 3,AI/ML,7.02,499,1,8,9,100
23,Female,Tier 3,Electronics,6.58,193,1,10,12,57
22,Other,Tier 3,AI/ML,6.09,286,2,3,11,41
23,Male,Tier 3,Mechanical,6.18,128,1,2,4,54
21,Male,Tier 1,Mechanical,8.19,238,3,7,12,60
24,Other,Tier 2,Civil,9.29,8,3,9,10,74
21,Other,Tier 2,Information Technology,7.01,196,0,6,9,88
22,Female,Tier 1,Electronics,8.73,36,2,0,12,73
19,Male,Tier 3,Information Technology,5.6,319,1,6,7,60
25,Male,Tier 2,Information Technology,6.54,313,2,2,12,86
19,Other,Tier 3,Information Technology,9.0,221,2,8,10,100
23,Other,Tier 3,Data Science,7.67,472,0,2,3,89
22,Other,Tier 1,AI/ML,5.95,340,4,0,10,88
18,Other,Tier 3,AI/ML,7.47,184,0,10,8,69
21,Other,Tier 2,Information Technology,6.84,152,2,3,1,51
22,Female,Tier 3,Computer Science,8.52,462,0,2,3,83
18,Male,Tier 3,Electronics,6.52,368,1,6,2,88
19,Other,Tier 3,Electronics,7.93,252,1,8,4,84
25,Other,Tier 3,Data Science,7.31,337,4,4,7,78
20,Other,Tier 3,Civil,7.3,115,2,7,8,91
18,Female,Tier 3,Computer Science,7.07,476,2,3,10,66
18,Other,Tier 2,Electronics,7.56,383,1,1,5,59
23,Female,Tier 3,Civil,7.64,310,4,2,4,61
25,Male,Tier 3,Data Science,8.39,0,1,5,8,90
18,Male,Tier 3,Electronics,7.55,176,2,5,2,49
24,Male,Tier 3,Data Science,6.11,351,2,4,12,94
